epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1664.21,0.7911,0.62807,1.22046,0.87099,0.85337,0.91278,0.69782,0.89112,0.61125,1.41119,0.0005941,0.0005941,0.0005941
43,1703.31,0.76787,0.60193,1.20593,0.90945,0.83145,0.91165,0.71034,0.85202,0.58956,1.36524,0.0005842,0.0005842,0.0005842
44,1742.12,0.78933,0.61911,1.21648,0.889,0.84187,0.90418,0.69753,0.88133,0.62066,1.39056,0.0005743,0.0005743,0.0005743
45,1781.07,0.77804,0.59205,1.20977,0.91951,0.83303,0.91227,0.69839,0.8762,0.60626,1.37912,0.0005644,0.0005644,0.0005644
46,1819.57,0.77083,0.6042,1.20149,0.86828,0.83909,0.90906,0.69263,0.90863,0.62224,1.41304,0.0005545,0.0005545,0.0005545
47,1858.25,0.77828,0.59009,1.21644,0.92548,0.80956,0.91631,0.71926,0.85973,0.59545,1.3791,0.0005446,0.0005446,0.0005446
48,1897.82,0.75567,0.5685,1.19419,0.91891,0.82986,0.91936,0.71184,0.85268,0.58594,1.37801,0.0005347,0.0005347,0.0005347
49,1935.49,0.76196,0.57777,1.20308,0.88654,0.84902,0.9088,0.70575,0.85255,0.60155,1.35254,0.0005248,0.0005248,0.0005248
50,1974.59,0.76042,0.57361,1.19951,0.90129,0.85174,0.91881,0.7086,0.86751,0.58914,1.41264,0.0005149,0.0005149,0.0005149
51,2012.58,0.76865,0.58418,1.20323,0.92804,0.82639,0.92025,0.70379,0.89514,0.6023,1.41674,0.000505,0.000505,0.000505
52,2051.79,0.7666,0.57243,1.19426,0.89591,0.85999,0.92761,0.72649,0.83318,0.56196,1.35631,0.0004951,0.0004951,0.0004951
53,2089.7,0.72795,0.54485,1.18143,0.90756,0.82776,0.91689,0.71309,0.83469,0.57508,1.36526,0.0004852,0.0004852,0.0004852
54,2129.52,0.72263,0.53704,1.18484,0.87911,0.86816,0.91459,0.70368,0.89073,0.58328,1.41877,0.0004753,0.0004753,0.0004753
55,2168.03,0.73062,0.55114,1.18335,0.88803,0.87004,0.92276,0.71287,0.86408,0.56071,1.39522,0.0004654,0.0004654,0.0004654
56,2206.38,0.72488,0.54288,1.18561,0.88862,0.86788,0.91998,0.72459,0.82751,0.55728,1.34794,0.0004555,0.0004555,0.0004555
57,2245.11,0.73377,0.54002,1.19554,0.9132,0.8544,0.92013,0.70885,0.87831,0.55045,1.39792,0.0004456,0.0004456,0.0004456
58,2283.58,0.73843,0.54151,1.17963,0.9335,0.83474,0.92637,0.71423,0.86586,0.55039,1.39518,0.0004357,0.0004357,0.0004357
59,2323.01,0.72884,0.52886,1.17495,0.91008,0.83535,0.91875,0.71363,0.848,0.56231,1.36592,0.0004258,0.0004258,0.0004258
60,2361.21,0.72702,0.53024,1.17472,0.87751,0.84841,0.91879,0.71369,0.85508,0.57586,1.35073,0.0004159,0.0004159,0.0004159
61,2400.93,0.6968,0.50806,1.16162,0.91313,0.83977,0.91895,0.71492,0.85376,0.57503,1.37637,0.000406,0.000406,0.000406
62,2439.03,0.70648,0.50536,1.16369,0.89365,0.86032,0.91582,0.70617,0.85535,0.57254,1.36311,0.0003961,0.0003961,0.0003961
63,2478.64,0.71175,0.51638,1.16437,0.89646,0.83166,0.91203,0.70757,0.848,0.57681,1.36558,0.0003862,0.0003862,0.0003862
64,2517.16,0.70829,0.51062,1.17216,0.90272,0.84467,0.91712,0.71275,0.84518,0.55481,1.36307,0.0003763,0.0003763,0.0003763
65,2556.47,0.70143,0.50818,1.1596,0.90781,0.8307,0.92413,0.7196,0.84072,0.54816,1.36087,0.0003664,0.0003664,0.0003664
66,2595.79,0.68923,0.49415,1.16073,0.91687,0.86443,0.92834,0.71655,0.86417,0.53674,1.4145,0.0003565,0.0003565,0.0003565
67,2633.72,0.6916,0.50266,1.16063,0.92027,0.8405,0.91939,0.71059,0.84064,0.57111,1.36674,0.0003466,0.0003466,0.0003466
68,2672.5,0.6819,0.48792,1.14535,0.90294,0.86712,0.92971,0.72493,0.83355,0.52526,1.35899,0.0003367,0.0003367,0.0003367
69,2710.85,0.67774,0.47505,1.14057,0.9082,0.85972,0.91848,0.71231,0.8657,0.54988,1.38954,0.0003268,0.0003268,0.0003268
